,dr7objid,t04_spiral_a08_spiral_flag,t04_spiral_a09_no_spiral_flag,t08_odd_feature_a20_lens_or_arc_flag,t08_odd_feature_a22_irregular_flag
0,125583,0,1,1,0
1,140660,0,1,0,0
2,41195,0,1,1,0
3,192706,0,1,1,0
4,203838,0,1,0,0
5,67866,0,1,1,0
6,69050,0,1,0,0
7,137506,1,0,0,0
8,70197,0,1,1,0
9,137698,0,1,1,0
10,194488,0,1,0,0
11,105598,0,1,1,0
12,162921,0,1,1,0
13,200671,0,1,0,0
14,11859,1,0,0,0
15,164046,0,1,1,0
16,196481,0,1,0,0
17,204481,1,0,0,1
18,71689,0,1,0,0
19,100811,1,0,0,0
20,143046,0,1,1,0
21,132535,0,1,0,0
22,166990,0,1,1,0
23,126154,1,0,0,0
24,197459,0,1,0,0
25,169240,0,1,1,0
26,92903,0,1,1,0
27,184117,0,1,0,0
28,38019,1,0,0,0
29,44679,0,1,1,0
30,49224,0,1,0,0
31,42161,0,1,1,0
32,37232,1,0,0,0
33,234467,0,1,0,0
34,143481,0,1,1,0
35,204059,0,1,0,0
36,18556,0,1,1,0
37,226681,1,0,0,0
38,128156,0,1,1,0
39,175706,0,1,1,0
40,205146,0,1,0,0
41,143955,0,1,1,0
42,69880,0,1,0,0
43,68847,0,1,1,0
44,243633,0,1,1,0
45,36617,1,0,0,0
46,66337,0,1,1,0
47,103957,0,1,0,0
48,207018,0,1,1,0
49,136356,0,1,1,0
50,127881,1,0,0,0
51,161315,0,1,0,0
52,235102,0,1,1,0
53,232882,1,0,0,0
54,156986,0,1,1,0
55,144482,0,1,0,0
56,155717,0,1,1,0
57,153085,0,1,0,0
58,58688,0,1,1,0
59,157196,1,0,0,0
60,75869,0,1,0,0
61,145203,0,1,1,0
62,95380,0,1,0,0
63,99676,1,0,0,0
64,128343,0,1,1,0
65,63361,0,1,0,0
66,144970,0,1,0,0
67,83543,1,0,0,0
68,48389,0,1,1,0
69,55223,0,1,0,0
70,129599,0,1,0,1
71,178560,0,1,0,0
72,107932,1,0,0,0
73,284935,0,1,1,0
74,174268,0,1,0,0
75,36984,0,1,1,0
76,128824,0,1,1,0
77,116016,0,1,0,0
78,70933,1,0,0,0
79,170568,0,1,1,0
80,27964,0,1,0,0
81,223132,1,0,0,0
82,136026,0,1,0,0
83,117022,0,1,1,0
84,102117,1,0,0,0
85,255399,0,1,0,0
86,181271,0,1,1,0
87,170875,0,1,0,0
88,244005,1,0,0,0
89,181141,0,1,1,0
90,200058,0,1,0,0
91,287319,0,1,1,0
92,7384,0,1,1,0
93,73889,0,1,0,0
94,154111,1,0,0,0
95,233157,0,1,1,0
96,168841,0,1,1,0
97,157535,0,1,1,0
98,49476,0,1,1,0
99,84600,0,1,1,0
100,218265,0,1,0,0
101,111254,1,0,0,0
102,130562,0,1,0,0
103,283133,1,0,0,0
104,75447,0,1,1,0
105,134836,0,1,1,0
106,32403,0,1,1,0
107,136117,0,1,0,0
108,59546,1,0,0,0
109,125799,1,0,0,1
110,32637,0,1,0,0
111,216244,0,1,1,0
112,294076,1,0,0,0
113,283296,0,1,0,0
114,71177,0,1,1,0
115,1613,0,1,1,0
116,136552,0,1,1,0
117,52066,1,0,0,0
118,58613,0,1,0,0
119,105396,0,1,1,0
120,102822,0,1,1,0
121,143935,0,1,0,0
122,38614,1,0,0,0
123,77790,0,1,0,0
124,157353,0,1,1,0
125,52291,1,0,0,0
126,2551,0,1,0,0
127,244241,0,1,0,0
128,58054,0,1,1,0
129,261860,1,0,0,0
130,46347,0,1,1,0
131,50322,0,1,0,0
132,184481,1,0,0,0
133,199937,0,1,1,0
134,11023,0,1,0,0
135,119785,0,1,1,0
136,284812,1,0,0,0
137,49265,0,1,0,0
138,249301,0,1,1,0
139,39357,0,1,1,0
140,220191,0,1,1,0
141,17282,0,1,0,0
142,56017,0,1,1,0
143,290248,1,0,0,0
144,126770,0,1,1,0
145,149945,0,1,0,0
146,284949,1,0,0,1
147,19613,0,1,1,0
148,238481,0,1,1,0
149,243075,0,1,0,0
150,4322,1,0,0,0
151,89247,0,0,0,1
152,67867,1,0,0,0
153,240181,0,1,0,0
154,142194,0,1,1,0
155,43938,0,1,0,0
156,220672,0,1,1,0
157,197407,1,0,0,0
158,191231,0,1,0,0
